nom;prenom;mail;etcs;moyenne;choix;attribué;rang
Benoit;Susan;SusanBenoit@cy-tech.fr;30;16.955;IAP;1;1
de;Denis;Denisde@cy-tech.fr;30;16.91;DS;1;1
Nicolas;Théodore;ThéodoreNicolas@cy-tech.fr;30;16.729;HPDA;1;1
Gauthier;Marguerite;MargueriteGauthier@cy-tech.fr;30;15.884;DS;1;2
Ramos;Stéphane;StéphaneRamos@cy-tech.fr;30;15.226;IAC;1;1
Chauvin;Margaret;MargaretChauvin@cy-tech.fr;30;15.209;DS;1;3
Pruvost;Philippine-Maryse;Philippine-MarysePruvost@cy-tech.fr;30;15.136;IAP;1;2
Berger;Rémy;RémyBerger@cy-tech.fr;30;15.052;DS;1;4
Richard;Joseph;JosephRichard@cy-tech.fr;30;15.036;DS;1;5
Tanguy;Jules;JulesTanguy@cy-tech.fr;30;15.016;DS;1;6
Duval;Arthur;ArthurDuval@cy-tech.fr;30;14.961;IAC;1;2
Alves-Buisson;Marine;MarineAlves-Buisson@cy-tech.fr;30;14.93;DS;1;7
Sauvage;Manon;ManonSauvage@cy-tech.fr;30;14.82;DS;1;8
Turpin;Thibaut;ThibautTurpin@cy-tech.fr;30;14.812;DS;1;9
Lopes;Élodie;ÉlodieLopes@cy-tech.fr;30;14.793;IAP;1;3
Perret;Julie;JuliePerret@cy-tech.fr;30;14.717;DS;1;10
Leleu;Gilles;GillesLeleu@cy-tech.fr;30;14.7;DS;1;11
Gomes;Christiane;ChristianeGomes@cy-tech.fr;30;14.689;DS;1;12
Carre-Charles;Théophile;ThéophileCarre-Charles@cy-tech.fr;30;14.661;DS;1;13
de;Emmanuel;Emmanuelde@cy-tech.fr;30;14.449;IAC;1;3
Gomes;Alphonse;AlphonseGomes@cy-tech.fr;30;14.386;DS;1;14
Rocher;Benjamin;BenjaminRocher@cy-tech.fr;30;14.354;DS;1;15
Peron;Colette;ColettePeron@cy-tech.fr;30;14.305;DS;1;16
De;Claude;ClaudeDe@cy-tech.fr;30;14.235;DS;1;17
du;Constance;Constancedu@cy-tech.fr;30;14.187;IAP;1;4
Weber;Josette;JosetteWeber@cy-tech.fr;15;14.175;FT;1;1
Pottier-Lamy;Gilbert;GilbertPottier-Lamy@cy-tech.fr;30;14.125;DS;1;18
Carlier;Marianne-Alex;Marianne-AlexCarlier@cy-tech.fr;30;14.103;DS;1;19
Le;Adèle;AdèleLe@cy-tech.fr;30;14.06;DS;1;20
du;Augustin;Augustindu@cy-tech.fr;30;14.018;IAC;1;4
Henry-Petitjean;Jeannine;JeannineHenry-Petitjean@cy-tech.fr;30;13.969;IAP;1;5
Laroche;Augustin;AugustinLaroche@cy-tech.fr;30;13.948;IAC;1;5
Julien;Denis;DenisJulien@cy-tech.fr;30;13.924;FT;1;2
Riviere;Chantal-Alexandria;Chantal-AlexandriaRiviere@cy-tech.fr;30;13.87;DS;1;21
Le;Benoît;BenoîtLe@cy-tech.fr;30;13.868;DS;1;22
Robin;Alexandrie;AlexandrieRobin@cy-tech.fr;30;13.813;HPDA;1;2
Courtois;Claire;ClaireCourtois@cy-tech.fr;30;13.809;FT;1;3
Vallee;Emmanuelle;EmmanuelleVallee@cy-tech.fr;30;13.665;DS;1;23
Jacquot;Bertrand;BertrandJacquot@cy-tech.fr;30;13.646;DS;1;24
Torres;Agnès;AgnèsTorres@cy-tech.fr;30;13.61;DS;1;25
Le;Jean;JeanLe@cy-tech.fr;30;13.539;DS;1;26
Valentin;Olivier;OlivierValentin@cy-tech.fr;30;13.458;DS;1;27
Poulain;Émile;ÉmilePoulain@cy-tech.fr;29;13.416;FT;1;4
Delannoy;Jérôme;JérômeDelannoy@cy-tech.fr;30;13.416;DS;1;28
Bazin;Étienne;ÉtienneBazin@cy-tech.fr;30;13.383;DS;1;29
Dupuis;Roger;RogerDupuis@cy-tech.fr;30;13.343;DS;1;30
Loiseau;Madeleine;MadeleineLoiseau@cy-tech.fr;30;13.319;DS;1;31
Carlier;Adélaïde;AdélaïdeCarlier@cy-tech.fr;15;13.272;FT;1;5
Lambert;Frédéric;FrédéricLambert@cy-tech.fr;30;13.226;DS;1;32
Hamon;Frédérique;FrédériqueHamon@cy-tech.fr;30;13.217;IAC;1;6
Albert;Gérard;GérardAlbert@cy-tech.fr;30;13.179;DS;1;33
Arnaud;Lorraine;LorraineArnaud@cy-tech.fr;30;13.094;IAC;1;7
de;David;Davidde@cy-tech.fr;30;13.067;FT;1;6
Laine;Gabrielle;GabrielleLaine@cy-tech.fr;30;13.065;FT;1;7
