prenom;nom;login;ECTS acquis;Moyenne;Choix 1;Choix 2;Choix 3;Choix 4;Choix 5;Choix 6;Choix 7;Choix 8
Gabriel-Victor;Dupre;Gabriel-VictorDupre@cy-tech.fr;30;17,417;IAC ;HPDA ;IAP ;BI ;VISUA ;ICC ;INEM ;CS
Marc;Ribeiro;MarcRibeiro@cy-tech.fr;30;16,946;ICC ;IAP ;HPDA ;IAC ;VISUA ;INEM ;CS ;BI
Susan;Sauvage;SusanSauvage@cy-tech.fr;30;16,742;IAC ;BI ;HPDA ;IAP ;ICC ;CS ;INEM ;VISUA
Denis-Adrien;Alves;Denis-AdrienAlves@cy-tech.fr;30;16,662;BI ;IAC ;CS ;VISUA ;ICC ;INEM ;HPDA ;IAP
Michel;Levy;MichelLevy@cy-tech.fr;30;16,572;IAC ;IAP ;CS ;ICC ;INEM ;VISUA ;HPDA ;BI
Adélaïde;Boulay;AdélaïdeBoulay@cy-tech.fr;30;16,54;IAC ;IAP ;HPDA ;BI ;CS ;VISUA ;ICC ;INEM
Marthe;Seguin;MartheSeguin@cy-tech.fr;30;16,529;CS ;ICC ;IAP ;IAC ;INEM ;VISUA ;BI ;HPDA
Noël;Jacquet;NoëlJacquet@cy-tech.fr;30;16,427;CS ;ICC ;INEM ;IAP ;HPDA ;IAC ;VISUA ;BI
Monique;Mallet;MoniqueMallet@cy-tech.fr;30;16,333;IAP ;ICC ;IAC ;INEM ;VISUA ;CS ;HPDA ;BI
Charles;Lamy-Besson;CharlesLamy-Besson@cy-tech.fr;30;16,301;CS ;HPDA ;IAC ;IAP ;INEM ;VISUA ;ICC ;BI
François;Herve;FrançoisHerve@cy-tech.fr;30;16,26;INEM ;CS ;ICC ;VISUA ;IAP ;IAC ;HPDA ;BI
Marine;Hamel;MarineHamel@cy-tech.fr;30;16,199;IAC ;CS ;HPDA ;BI ;IAP ;ICC ;INEM ;VISUA
Caroline;Marie;CarolineMarie@cy-tech.fr;30;16,129;INEM ;VISUA ;IAC ;CS ;IAP ;ICC ;HPDA ;BI
