prenom;nom;login;ECTS acquis;Moyenne;Choix 1;Choix 2
Hélène;Courtois;HélèneCourtois@cy-tech.fr;30;15,992;MMF;ACTU
Charlotte;Le;CharlotteLe@cy-tech.fr;30;15,391;MMF;ACTU
Laetitia;Rodrigues;LaetitiaRodrigues@cy-tech.fr;30;14,856;MMF;ACTU
Lucie;Lefebvre;LucieLefebvre@cy-tech.fr;30;14,85;MMF;ACTU
daisy;de;daisyde@cy-tech.fr;30;14,366;MMF;ACTU
Léon;Allain;LéonAllain@cy-tech.fr;30;14,299;MMF;ACTU
Virginie-Constance;Courtois;Virginie-ConstanceCourtois@cy-tech.fr;30;14,161;MMF;ACTU
Lucas;Morvan;LucasMorvan@cy-tech.fr;30;14,157;MMF;ACTU
Simone;Ollivier;SimoneOllivier@cy-tech.fr;30;13,866;MMF;ACTU
Patricia;Guerin;PatriciaGuerin@cy-tech.fr;30;13,776;MMF;ACTU
Alexandria;Delaunay;AlexandriaDelaunay@cy-tech.fr;30;13,547;MMF;ACTU
Antoine-Nicolas;Morel;Antoine-NicolasMorel@cy-tech.fr;30;13,439;MMF;ACTU
Inès;Costa;InèsCosta@cy-tech.fr;30;13,394;MMF;ACTU
Franck;Bernard;FranckBernard@cy-tech.fr;30;13,291;MMF;ACTU
Agnès;Blanchard;AgnèsBlanchard@cy-tech.fr;30;13,079;ACTU;MMF
Marine;Martel;MarineMartel@cy-tech.fr;30;12,916;MMF;ACTU
Sébastien;Chauvin;SébastienChauvin@cy-tech.fr;30;12,869;MMF;ACTU
Alexandre;Garcia;AlexandreGarcia@cy-tech.fr;30;12,778;MMF;ACTU
Eugène;du;Eugènedu@cy-tech.fr;30;12,703;MMF;ACTU
Claude;Benoit;ClaudeBenoit@cy-tech.fr;30;12,291;MMF;ACTU
Dorothée;Pottier;DorothéePottier@cy-tech.fr;30;12,163;MMF;ACTU
Stéphanie;du;Stéphaniedu@cy-tech.fr;30;12,129;MMF;ACTU
François;Bernard;FrançoisBernard@cy-tech.fr;30;12,043;MMF;ACTU
Corinne;Humbert;CorinneHumbert@cy-tech.fr;30;11,801;MMF;ACTU
Charlotte;Lelievre;CharlotteLelievre@cy-tech.fr;30;11,766;MMF;ACTU
Olivie-Amélie;Imbert;Olivie-AmélieImbert@cy-tech.fr;30;11,635;MMF;ACTU
Maurice;Guillou;MauriceGuillou@cy-tech.fr;30;11,498;MMF;ACTU
Laurence;Meunier;LaurenceMeunier@cy-tech.fr;30;10,826;ACTU;MMF
Marguerite;Denis;MargueriteDenis@cy-tech.fr;30;10,745;MMF;ACTU
Charlotte;Marchal;CharlotteMarchal@cy-tech.fr;15;12,513;MMF;ACTU
Thierry;Colin;ThierryColin@cy-tech.fr;15;11,784;ACTU;MMF
Thibault-Olivier;Gerard;Thibault-OlivierGerard@cy-tech.fr;15;11,616;MMF;ACTU
Étienne;Pons;ÉtiennePons@cy-tech.fr;15;11,26;MMF;ACTU
Hugues;Pons;HuguesPons@cy-tech.fr;15;11,151;MMF;ACTU
Hugues;Raynaud;HuguesRaynaud@cy-tech.fr;15;11,088;ACTU;MMF
Robert;Le;RobertLe@cy-tech.fr;15;11,062;MMF;ACTU
Louise;Guillet;LouiseGuillet@cy-tech.fr;15;11,058;MMF;ACTU
Laurent;Bailly-Lebrun;LaurentBailly-Lebrun@cy-tech.fr;15;10,942;MMF;ACTU
Nicolas-Alexandre;Michel;Nicolas-AlexandreMichel@cy-tech.fr;15;10,663;MMF;ACTU
Odette;Schmitt;OdetteSchmitt@cy-tech.fr;15;10,226;MMF;ACTU
René;Aubert;RenéAubert@cy-tech.fr;15;10,186;MMF;ACTU
Antoine;Grenier;AntoineGrenier@cy-tech.fr;15;9,736;ACTU;MMF
