prenom;nom;login;ECTS acquis;Moyenne;Choix 1;Choix 2;Choix 3;Choix 4;Choix 5;Choix 6
Susan;Benoit;SusanBenoit@cy-tech.fr;30;16,955;IAP ;IAC ;HPDA ;DS ;FT ;BI
Denis;de;Denisde@cy-tech.fr;30;16,91;DS ;BI ;HPDA ;IAC ;IAP ;FT
Théodore;Nicolas;ThéodoreNicolas@cy-tech.fr;30;16,729;HPDA ;DS ;IAP ;IAC ;BI ;FT
Marguerite;Gauthier;MargueriteGauthier@cy-tech.fr;30;15,884;DS ;IAC ;FT ;BI ;IAP ;HPDA
Stéphane;Ramos;StéphaneRamos@cy-tech.fr;30;15,226;IAC ;DS ;FT ;IAP ;HPDA ;BI
Margaret;Chauvin;MargaretChauvin@cy-tech.fr;30;15,209;DS ;BI ;HPDA ;IAC ;IAP ;FT
Philippine-Maryse;Pruvost;Philippine-MarysePruvost@cy-tech.fr;30;15,136;IAP ;HPDA ;DS ;IAC ;FT ;BI
Rémy;Berger;RémyBerger@cy-tech.fr;30;15,052;DS ;BI ;IAC ;FT ;IAP ;HPDA
Joseph;Richard;JosephRichard@cy-tech.fr;30;15,036;DS ;FT ;BI ;HPDA ;IAC ;IAP
Jules;Tanguy;JulesTanguy@cy-tech.fr;30;15,016;DS ;FT ;IAC ;BI ;HPDA ;IAP
Arthur;Duval;ArthurDuval@cy-tech.fr;30;14,961;IAC ;DS ;BI ;FT ;IAP ;HPDA
Marine;Alves-Buisson;MarineAlves-Buisson@cy-tech.fr;30;14,93;DS ;IAC ;FT ;BI ;HPDA ;IAP
Manon;Sauvage;ManonSauvage@cy-tech.fr;30;14,82;DS ;BI ;HPDA ;IAC ;FT ;IAP
Thibaut;Turpin;ThibautTurpin@cy-tech.fr;30;14,812;DS ;IAC ;BI ;FT ;IAP ;HPDA
Élodie;Lopes;ÉlodieLopes@cy-tech.fr;30;14,793;IAP ;HPDA ;IAC ;DS ;FT ;BI
Julie;Perret;JuliePerret@cy-tech.fr;30;14,717;DS ;FT ;IAC ;BI ;HPDA ;IAP
Gilles;Leleu;GillesLeleu@cy-tech.fr;30;14,7;DS ;BI ;FT ;IAC ;IAP ;HPDA
Christiane;Gomes;ChristianeGomes@cy-tech.fr;30;14,689;DS ;IAP ;IAC ;HPDA ;FT ;BI
Théophile;Carre-Charles;ThéophileCarre-Charles@cy-tech.fr;30;14,661;DS ;IAC ;BI ;FT ;IAP ;HPDA
Emmanuel;de;Emmanuelde@cy-tech.fr;30;14,449;IAC ;DS ;BI ;FT ;HPDA ;IAP
Alphonse;Gomes;AlphonseGomes@cy-tech.fr;30;14,386;DS ;FT ;IAC ;BI ;IAP ;HPDA
Benjamin;Rocher;BenjaminRocher@cy-tech.fr;30;14,354;DS ;HPDA ;FT ;IAP ;IAC ;BI
Colette;Peron;ColettePeron@cy-tech.fr;30;14,305;DS ;IAC ;FT ;BI ;IAP ;HPDA
Claude;De;ClaudeDe@cy-tech.fr;30;14,235;DS ;FT ;IAC ;IAP ;BI ;HPDA
Constance;du;Constancedu@cy-tech.fr;30;14,187;IAP ;HPDA ;IAC ;DS ;FT ;BI
Gilbert;Pottier-Lamy;GilbertPottier-Lamy@cy-tech.fr;30;14,125;DS ;FT ;IAC ;HPDA ;IAP ;BI
Marianne-Alex;Carlier;Marianne-AlexCarlier@cy-tech.fr;30;14,103;DS ;IAC ;FT ;BI ;IAP ;HPDA
Adèle;Le;AdèleLe@cy-tech.fr;30;14,06;DS ;BI ;IAC ;FT ;IAP ;HPDA
Augustin;du;Augustindu@cy-tech.fr;30;14,018;IAC ;FT ;DS ;BI ;IAP ;HPDA
Jeannine;Henry-Petitjean;JeannineHenry-Petitjean@cy-tech.fr;30;13,969;IAP ;HPDA ;IAC ;DS ;BI ;FT
Augustin;Laroche;AugustinLaroche@cy-tech.fr;30;13,948;IAC ;DS ;FT ;BI ;IAP ;HPDA
Denis;Julien;DenisJulien@cy-tech.fr;30;13,924;FT ;DS ;IAP ;IAC ;HPDA ;BI
Chantal-Alexandria;Riviere;Chantal-AlexandriaRiviere@cy-tech.fr;30;13,87;DS ;IAC ;FT ;BI ;HPDA ;IAP
Benoît;Le;BenoîtLe@cy-tech.fr;30;13,868;DS ;IAC ;FT ;BI ;HPDA ;IAP
Alexandrie;Robin;AlexandrieRobin@cy-tech.fr;30;13,813;HPDA ;IAP ;DS ;IAC ;BI ;FT
Claire;Courtois;ClaireCourtois@cy-tech.fr;30;13,809;FT ;DS ;BI ;IAC ;HPDA ;IAP
Emmanuelle;Vallee;EmmanuelleVallee@cy-tech.fr;30;13,665;DS ;IAC ;FT ;BI ;IAP ;HPDA
Bertrand;Jacquot;BertrandJacquot@cy-tech.fr;30;13,646;DS ;IAC ;FT ;BI ;IAP ;HPDA
Agnès;Torres;AgnèsTorres@cy-tech.fr;30;13,61;DS ;FT ;IAC ;BI ;IAP ;HPDA
Jean;Le;JeanLe@cy-tech.fr;30;13,539;DS ;FT ;IAC ;IAP ;BI ;HPDA
Olivier;Valentin;OlivierValentin@cy-tech.fr;30;13,458;DS ;FT ;IAC ;BI ;IAP ;HPDA
Roger;Dupuis;RogerDupuis@cy-tech.fr;30;13,343;DS ;IAC ;FT ;BI ;HPDA ;IAP
Madeleine;Loiseau;MadeleineLoiseau@cy-tech.fr;30;13,319;DS ;IAC ;FT ;IAP ;HPDA ;BI
Frédérique;Hamon;FrédériqueHamon@cy-tech.fr;30;13,217;IAC ;DS ;BI ;FT ;HPDA ;IAP
Lorraine;Arnaud;LorraineArnaud@cy-tech.fr;30;13,094;IAC ;DS ;FT ;BI ;IAP ;HPDA
Étienne;Bazin;ÉtienneBazin@cy-tech.fr;30;13,383;DS ;FT ;IAC ;BI ;BI ;IAP
David;de;Davidde@cy-tech.fr;30;13,067;FT ;DS ;IAC ;IAP ;HPDA ;BI
Laure;Hoarau;LaureHoarau@cy-tech.fr;30;12,951;IAP ;IAC ;DS ;HPDA ;FT ;BI
Claude;Breton;ClaudeBreton@cy-tech.fr;30;12,84;IAP ;IAC ;FT ;HPDA ;DS ;BI
Stéphane;Perrot;StéphanePerrot@cy-tech.fr;30;12,741;DS ;FT ;IAC ;BI ;IAP ;HPDA
Alexandria;Dufour;AlexandriaDufour@cy-tech.fr;30;12,643;IAP ;HPDA ;DS ;IAC ;BI ;FT
Céline;Marty;CélineMarty@cy-tech.fr;30;12,506;IAC ;DS ;FT ;IAP ;BI ;HPDA
Joséphine;Monnier;JoséphineMonnier@cy-tech.fr;30;12,462;IAP ;FT ;IAC ;BI ;DS ;HPDA
Gabrielle;Laine;GabrielleLaine@cy-tech.fr;30;13,065;FT ;DS ;BI ;IAC ;HPDA ;IAP
Célina;Guibert-Leconte;CélinaGuibert-Leconte@cy-tech.fr;30;12,519;DS ;FT ;IAC ;BI ;IAP ;HPDA
Thérèse;Gillet;ThérèseGillet@cy-tech.fr;30;12,35;IAC ;DS ;HPDA ;IAP ;FT ;BI
Jean;Rodriguez;JeanRodriguez@cy-tech.fr;30;12,434;FT ;DS ;IAC ;IAP ;BI ;HPDA
Margaux-Chantal;Roy;Margaux-ChantalRoy@cy-tech.fr;30;12,386;FT ;DS ;IAC ;BI ;IAP ;HPDA
Benoît-Nicolas;Loiseau;Benoît-NicolasLoiseau@cy-tech.fr;30;12,254;FT ;DS ;IAC ;HPDA ;IAP ;BI
Agathe;Le;AgatheLe@cy-tech.fr;30;11,624;HPDA ;IAP ;DS ;FT ;IAC ;BI
Maurice;Dias;MauriceDias@cy-tech.fr;30;10,773;IAC ;DS ;IAP ;HPDA ;FT ;BI
Charlotte;Ollivier;CharlotteOllivier@cy-tech.fr;30;12,165;FT ;DS ;IAC ;BI ;HPDA ;IAP
Anne-Camille;Muller;Anne-CamilleMuller@cy-tech.fr;30;11,741;FT ;BI ;IAC ;DS ;HPDA ;IAP
Théodore;Henry;ThéodoreHenry@cy-tech.fr;30;11,632;DS ;FT ;IAC ;BI ;IAP ;HPDA
Diane;de;Dianede@cy-tech.fr;15;12,428;IAC ;IAP ;HPDA ;DS ;FT ;BI
Eugène;Albert;EugèneAlbert@cy-tech.fr;15;12,425;DS ;IAC ;HPDA ;BI ;IAP ;FT
Alexandria;Charpentier;AlexandriaCharpentier@cy-tech.fr;30;11,614;DS ;FT ;BI ;IAC ;IAP ;HPDA
Luc;Voisin;LucVoisin@cy-tech.fr;15;12,24;IAP ;HPDA ;IAC ;DS ;FT ;BI
Anne;Pons;AnnePons@cy-tech.fr;15;11,891;HPDA ;IAP ;DS ;IAC ;FT ;BI
Diane;Lebreton;DianeLebreton@cy-tech.fr;30;10,943;DS ;FT ;IAC ;BI ;HPDA ;IAP
Manon;de;Manonde@cy-tech.fr;30;10,772;DS ;FT ;IAC ;BI ;HPDA ;IAP
Émile;Poulain;ÉmilePoulain@cy-tech.fr;29;13,416;FT ;DS ;BI ;IAC ;HPDA ;IAP
Olivie;Legendre;OlivieLegendre@cy-tech.fr;15;10,872;IAP ;HPDA ;IAC ;DS ;BI ;FT
Laurence;Hebert;LaurenceHebert@cy-tech.fr;15;11,207;DS ;IAC ;HPDA ;IAP ;BI ;FT
Josette;Weber;JosetteWeber@cy-tech.fr;15;14,175;FT ;DS ;IAC ;BI ;IAP ;HPDA
Adélaïde;Carlier;AdélaïdeCarlier@cy-tech.fr;15;13,272;FT ;DS ;IAC ;BI ;IAP ;HPDA
Patricia;Didier;PatriciaDidier@cy-tech.fr;15;11,127;DS ;IAC ;BI ;FT ;HPDA ;IAP
Suzanne;Chauvet;SuzanneChauvet@cy-tech.fr;15;12,361;FT ;DS ;IAC ;IAP ;HPDA ;BI
Jérôme;Prevost;JérômePrevost@cy-tech.fr;15;11,845;DS ;FT ;IAC ;BI ;HPDA ;IAP
Dominique;Lecoq;DominiqueLecoq@cy-tech.fr;15;11,725;FT ;DS ;IAC ;BI ;HPDA ;IAP
Roger;Bigot;RogerBigot@cy-tech.fr;15;10,046;IAP ;IAC ;DS ;FT ;HPDA ;BI
Guy;Pottier-Barre;GuyPottier-Barre@cy-tech.fr;15;9,527;IAP ;HPDA ;IAC ;DS ;BI ;FT
Alphonse;Levy;AlphonseLevy@cy-tech.fr;15;10,663;HPDA ;IAC ;IAP ;DS ;BI ;FT
Joséphine;Hoareau;JoséphineHoareau@cy-tech.fr;15;11,44;FT ;DS ;BI ;IAC ;HPDA ;IAP
Jérôme;Delannoy;JérômeDelannoy@cy-tech.fr;30;13,416;DS ;IAC ;FT ;BI ;IAP ;HPDA
Marguerite;Martineau;MargueriteMartineau@cy-tech.fr;15;11,308;DS ;IAC ;FT ;BI ;IAP ;HPDA
Frédéric;Lambert;FrédéricLambert@cy-tech.fr;30;13,226;DS ;IAC ;FT ;BI ;IAP ;HPDA
Gérard;Albert;GérardAlbert@cy-tech.fr;30;13,179;DS ;IAC ;FT ;BI ;IAP ;HPDA
